org.apache.tools.ant.types.Path,org.apache.tools.ant.types.Path$PathElement,1
org.apache.tools.ant.filters.TokenFilter,org.apache.tools.ant.filters.TokenFilter$Filter,1
org.apache.tools.ant.filters.TokenFilter$FileTokenizer,org.apache.tools.ant.filters.TokenFilter$Filter,1
org.apache.tools.ant.filters.TokenFilter$StringTokenizer,org.apache.tools.ant.filters.TokenFilter$Filter,1
org.apache.tools.ant.filters.TokenFilter$ChainableReaderFilter,org.apache.tools.ant.filters.TokenFilter$Filter,1
org.apache.tools.ant.filters.TokenFilter$ReplaceString,org.apache.tools.ant.filters.TokenFilter$Filter,1
org.apache.tools.ant.filters.TokenFilter$ContainsString,org.apache.tools.ant.filters.TokenFilter$Filter,1
org.apache.tools.ant.filters.TokenFilter$ReplaceRegex,org.apache.tools.ant.filters.TokenFilter$Filter,1
org.apache.tools.ant.filters.TokenFilter$ContainsRegex,org.apache.tools.ant.filters.TokenFilter$Filter,1
org.apache.tools.ant.filters.TokenFilter$Trim,org.apache.tools.ant.filters.TokenFilter$Filter,1
org.apache.tools.ant.filters.TokenFilter$IgnoreBlank,org.apache.tools.ant.filters.TokenFilter$Filter,1
org.apache.tools.ant.filters.TokenFilter$DeleteCharacters,org.apache.tools.ant.filters.TokenFilter$Filter,1
org.apache.tools.zip.ZipFile,org.apache.tools.zip.ZipFile$BoundedInputStream,1
org.apache.tools.ant.taskdefs.MacroDef,org.apache.tools.ant.taskdefs.MacroDef$NestedSequential,1
org.apache.tools.ant.taskdefs.MacroDef,org.apache.tools.ant.taskdefs.MacroDef$Attribute,1
org.apache.tools.ant.taskdefs.MacroDef,org.apache.tools.ant.taskdefs.MacroDef$Text,1
org.apache.tools.ant.taskdefs.MacroDef,org.apache.tools.ant.taskdefs.MacroDef$TemplateElement,1
org.apache.tools.ant.taskdefs.MacroDef,org.apache.tools.ant.taskdefs.MacroDef$MyAntTypeDefinition,1
org.apache.tools.ant.taskdefs.MacroDef,org.apache.tools.ant.taskdefs.MacroInstance,1
