org.hibernate.engine.jdbc.batch.internal.NonBatchingBatch,org.hibernate.engine.jdbc.batch.internal.AbstractBatchImpl,2, LD
org.hibernate.boot.model.source.internal.hbm.ModelBinder,org.hibernate.boot.model.source.internal.hbm.ModelBinder$TypeResolution,9, LD
org.hibernate.boot.model.source.internal.hbm.ModelBinder,org.hibernate.boot.model.source.internal.hbm.ModelBinder$DelayedPropertyReferenceHandlerImpl,9, LD
org.hibernate.boot.model.source.internal.hbm.ModelBinder,org.hibernate.boot.model.source.internal.hbm.ModelBinder$AbstractPluralAttributeSecondPass,9, LD
org.hibernate.boot.model.source.internal.hbm.ModelBinder,org.hibernate.boot.model.source.internal.hbm.ModelBinder$PluralAttributeListSecondPass,9, LD
org.hibernate.boot.model.source.internal.hbm.ModelBinder,org.hibernate.boot.model.source.internal.hbm.ModelBinder$PluralAttributeSetSecondPass,9, LD
org.hibernate.boot.model.source.internal.hbm.ModelBinder,org.hibernate.boot.model.source.internal.hbm.ModelBinder$PluralAttributeMapSecondPass,9, LD
org.hibernate.boot.model.source.internal.hbm.ModelBinder,org.hibernate.boot.model.source.internal.hbm.ModelBinder$PluralAttributeBagSecondPass,9, LD
org.hibernate.boot.model.source.internal.hbm.ModelBinder,org.hibernate.boot.model.source.internal.hbm.ModelBinder$PluralAttributeIdBagSecondPass,9, LD
org.hibernate.boot.model.source.internal.hbm.ModelBinder,org.hibernate.boot.model.source.internal.hbm.ModelBinder$PluralAttributeArraySecondPass,9, LD
org.hibernate.boot.model.source.internal.hbm.ModelBinder,org.hibernate.boot.model.source.internal.hbm.ModelBinder$PluralAttributePrimitiveArraySecondPass,9, LD
org.hibernate.boot.model.source.internal.hbm.ModelBinder,org.hibernate.boot.model.source.internal.hbm.ModelBinder$ManyToOneColumnBinder,9, LD
org.hibernate.boot.model.source.internal.hbm.ModelBinder,org.hibernate.boot.model.source.internal.hbm.ModelBinder$ManyToOneFkSecondPass,9, LD
org.hibernate.boot.model.source.internal.hbm.ModelBinder,org.hibernate.boot.model.source.internal.hbm.ModelBinder$NaturalIdUniqueKeyBinderImpl,9, LD
org.hibernate.boot.model.source.internal.hbm.ModelBinder,org.hibernate.cfg.annotations.EntityBinder,2, LD
org.hibernate.boot.model.source.internal.hbm.ModelBinder,org.hibernate.cfg.annotations.EntityBinder$EntityTableObjectNameSource,2, LD
org.hibernate.boot.model.source.internal.hbm.ModelBinder,org.hibernate.cfg.annotations.EntityBinder$EntityTableNamingStrategyHelper,2, LD
org.hibernate.boot.model.source.internal.hbm.ModelBinder,org.hibernate.cfg.annotations.EntityBinder$SecondaryTableNameSource,2, LD
org.hibernate.boot.model.source.internal.hbm.ModelBinder,org.hibernate.cfg.annotations.EntityBinder$SecondaryTableNamingStrategyHelper,2, LD
org.hibernate.engine.internal.EntityEntryContext$ManagedEntityImpl,org.hibernate.engine.spi.ManagedEntity,2, LD
